algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean,run_id
a2c,123,4500,0.0,5.6,0,50,10.02,1.16,0.42,123_20260110_094302
a2c,123,4600,0.0,5.98,0,50,10.0,1.16,0.34,123_20260110_094302
a2c,123,4700,0.0,6.56,0,50,10.0,1.12,0.24,123_20260110_094302
a2c,123,4800,0.0,5.5,0,50,10.04,1.42,0.34,123_20260110_094302
a2c,123,4900,0.0,5.7,0,50,10.06,1.18,0.4,123_20260110_094302
a2c,123,5000,0.0,5.92,0,50,10.1,1.24,0.34,123_20260110_094302
a2c,123,5100,0.0,5.98,0,50,10.02,1.12,0.36,123_20260110_094302
a2c,123,5200,0.0,5.62,0,50,10.02,1.2,0.4,123_20260110_094302
a2c,123,5300,0.0,5.9,0,50,10.04,1.32,0.3,123_20260110_094302
a2c,123,5400,0.0,5.68,0,50,10.02,1.12,0.42,123_20260110_094302
a2c,123,5500,0.0,5.96,0,50,10.0,1.12,0.36,123_20260110_094302
a2c,123,5600,0.0,6.36,0,50,10.02,1.08,0.3,123_20260110_094302
a2c,123,5700,0.0,6.2,0,50,10.02,1.26,0.26,123_20260110_094302
a2c,123,5800,0.0,5.58,0,50,10.02,1.22,0.4,123_20260110_094302
a2c,123,5900,0.0,5.16,0,50,10.06,1.2,0.5,123_20260110_094302
a2c,123,6000,0.0,5.64,0,50,10.08,1.02,0.48,123_20260110_094302
a2c,123,6100,0.0,5.7,0,50,10.08,1.24,0.38,123_20260110_094302
a2c,123,6200,0.0,5.38,0,50,10.04,1.38,0.38,123_20260110_094302
a2c,123,6300,0.0,6.04,0,50,10.0,1.08,0.36,123_20260110_094302
a2c,123,6400,0.0,5.22,0,50,10.0,1.44,0.38,123_20260110_094302
a2c,123,6500,0.0,6.02,0,50,10.08,1.18,0.34,123_20260110_094302
a2c,123,6600,0.0,6.08,0,50,10.0,0.96,0.4,123_20260110_094302
a2c,123,6700,0.0,6.28,0,50,10.04,1.08,0.32,123_20260110_094302
a2c,123,6800,0.0,5.96,0,50,10.08,1.16,0.36,123_20260110_094302
a2c,123,6900,0.0,6.48,0,50,10.0,0.96,0.32,123_20260110_094302
a2c,123,7000,0.0,6.9,0,50,10.08,1.04,0.22,123_20260110_094302
a2c,123,7100,0.0,6.12,0,50,10.02,1.1,0.34,123_20260110_094302
a2c,123,7200,0.0,6.92,0,50,10.0,0.94,0.24,123_20260110_094302
a2c,123,7300,0.0,7.4,0,50,10.06,0.78,0.22,123_20260110_094302
a2c,123,7400,0.0,8.02,0,50,10.02,0.7,0.12,123_20260110_094302
a2c,123,7500,0.0,6.7,0,50,10.04,0.92,0.3,123_20260110_094302
a2c,123,7600,0.0,6.66,0,50,10.06,0.9,0.32,123_20260110_094302
a2c,123,7700,0.0,6.9,0,50,10.02,0.76,0.32,123_20260110_094302
a2c,123,7800,0.0,6.6,0,50,10.04,0.92,0.32,123_20260110_094302
a2c,123,7900,0.0,6.7,0,50,10.08,0.84,0.34,123_20260110_094302
a2c,123,8000,0.0,5.96,0,50,10.06,0.9,0.46,123_20260110_094302
a2c,123,8100,0.0,6.74,0,50,10.06,0.86,0.32,123_20260110_094302
a2c,123,8200,0.0,6.9,0,50,10.02,0.76,0.32,123_20260110_094302
a2c,123,8300,0.0,7.64,0,50,10.06,0.76,0.18,123_20260110_094302
a2c,123,8400,0.0,7.28,0,50,10.08,0.8,0.24,123_20260110_094302
a2c,123,8500,0.0,6.86,0,50,10.08,0.76,0.34,123_20260110_094302
a2c,123,8600,0.0,7.44,0,50,10.12,0.64,0.28,123_20260110_094302
a2c,123,8700,0.0,7.02,0,50,10.04,0.56,0.38,123_20260110_094302
a2c,123,8800,0.0,7.56,0,50,10.06,0.4,0.34,123_20260110_094302
a2c,123,8900,0.0,6.68,0,50,10.14,0.78,0.38,123_20260110_094302
a2c,123,9000,0.0,7.26,0,50,10.1,0.62,0.32,123_20260110_094302
a2c,123,9100,0.0,7.1,0,50,10.0,0.4,0.42,123_20260110_094302
a2c,123,9200,0.0,7.82,0,50,10.04,0.46,0.26,123_20260110_094302
a2c,123,9300,0.0,7.46,0,50,10.04,0.54,0.3,123_20260110_094302
a2c,123,9400,0.0,6.5,0,50,10.04,0.62,0.46,123_20260110_094302
a2c,123,9500,0.0,7.88,0,50,10.06,0.64,0.18,123_20260110_094302
a2c,123,9600,0.0,6.94,0,50,10.08,0.72,0.34,123_20260110_094302
a2c,123,9700,0.0,6.58,0,50,10.02,1.02,0.28,123_20260110_094302
a2c,123,9800,0.0,6.94,0,50,10.06,0.76,0.32,123_20260110_094302
a2c,123,9900,0.0,7.36,0,50,10.04,0.84,0.2,123_20260110_094302
a2c,123,10000,0.0,8.26,0,50,10.0,0.52,0.14,123_20260110_094302
a2c,123,10100,0.0,8.26,0,50,10.06,0.5,0.16,123_20260110_094302
a2c,123,10200,0.0,8.02,0,50,10.04,0.56,0.18,123_20260110_094302
a2c,123,10300,0.0,7.74,0,50,10.04,0.7,0.18,123_20260110_094302
a2c,123,10400,0.0,7.12,0,50,10.04,0.86,0.24,123_20260110_094302
a2c,123,10500,0.0,7.08,0,50,10.02,0.82,0.26,123_20260110_094302
a2c,123,10600,0.0,7.92,0,50,10.1,0.64,0.18,123_20260110_094302
a2c,123,10700,0.0,7.96,0,50,10.06,0.6,0.18,123_20260110_094302
a2c,123,10800,0.0,7.68,0,50,10.08,0.6,0.24,123_20260110_094302
a2c,123,10900,0.0,7.24,0,50,10.02,0.54,0.34,123_20260110_094302
a2c,123,11000,0.0,6.86,0,50,10.08,0.86,0.3,123_20260110_094302
a2c,123,11100,0.0,7.36,0,50,10.12,0.58,0.32,123_20260110_094302
a2c,123,11200,0.0,7.46,0,50,10.02,0.48,0.32,123_20260110_094302
a2c,123,11300,0.0,7.58,0,50,10.06,0.44,0.32,123_20260110_094302
a2c,123,11400,0.0,7.52,0,50,10.06,0.42,0.34,123_20260110_094302
a2c,123,11500,0.0,7.52,0,50,10.1,0.54,0.3,123_20260110_094302
a2c,123,11600,0.0,8.4,0,50,10.08,0.44,0.16,123_20260110_094302
a2c,123,11700,0.0,8.22,0,50,10.04,0.46,0.18,123_20260110_094302
a2c,123,11800,0.0,8.36,0,50,10.14,0.44,0.18,123_20260110_094302
a2c,123,11900,0.0,8.92,0,50,10.02,0.3,0.1,123_20260110_094302
a2c,123,12000,0.0,8.26,0,50,10.06,0.4,0.2,123_20260110_094302
a2c,123,12100,0.0,8.4,0,50,10.16,0.38,0.2,123_20260110_094302
a2c,123,12200,0.0,7.72,0,50,10.14,0.56,0.26,123_20260110_094302
a2c,123,12300,0.0,8.54,0,50,10.1,0.38,0.16,123_20260110_094302
a2c,123,12400,0.0,7.52,0,50,10.08,0.28,0.4,123_20260110_094302
a2c,123,12500,0.0,7.78,0,50,10.08,0.4,0.3,123_20260110_094302
a2c,123,12600,0.0,7.56,0,50,10.08,0.36,0.36,123_20260110_094302
a2c,123,12700,0.0,8.44,0,50,10.14,0.3,0.22,123_20260110_094302
a2c,123,12800,0.0,7.96,0,50,10.12,0.38,0.28,123_20260110_094302
