algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
contraction_zonly_fast,123,4400,0.12,10.86,6,50,14.78,1.96,0.08
contraction_zonly_fast,123,4450,0.12,10.64,6,50,14.8,2.08,0.08
contraction_zonly_fast,123,4500,0.12,10.96,6,50,14.76,1.9,0.1
contraction_zonly_fast,123,4550,0.12,10.64,6,50,14.8,2.08,0.08
contraction_zonly_fast,123,4600,0.12,10.74,6,50,14.78,2.02,0.08
contraction_zonly_fast,123,4650,0.12,10.54,6,50,14.82,2.14,0.08
contraction_zonly_fast,123,4700,0.12,10.64,6,50,14.8,2.08,0.08
contraction_zonly_fast,123,4750,0.12,10.64,6,50,14.8,2.08,0.08
contraction_zonly_fast,123,4800,0.12,10.54,6,50,14.82,2.14,0.08
contraction_zonly_fast,123,4850,0.12,10.54,6,50,14.82,2.14,0.08
contraction_zonly_fast,123,4900,0.12,10.54,6,50,14.82,2.14,0.08
contraction_zonly_fast,123,4950,0.12,10.54,6,50,14.82,2.14,0.08
contraction_zonly_fast,123,5000,0.12,10.74,6,50,14.78,2.02,0.1
contraction_zonly_fast,456,50,0.12,10.46,6,50,14.74,2.14,0.12
contraction_zonly_fast,456,100,0.1,10.48,5,50,14.68,2.1,0.1
contraction_zonly_fast,456,150,0.1,10.28,5,50,14.72,2.22,0.06
contraction_zonly_fast,456,200,0.1,10.36,5,50,14.72,2.18,0.1
contraction_zonly_fast,456,250,0.1,10.48,5,50,14.72,2.12,0.06
contraction_zonly_fast,456,300,0.1,10.36,5,50,14.72,2.18,0.1
contraction_zonly_fast,456,350,0.1,10.48,5,50,14.72,2.12,0.06
contraction_zonly_fast,456,400,0.1,10.24,5,50,14.72,2.24,0.06
contraction_zonly_fast,456,450,0.1,10.58,5,50,14.74,2.08,0.14
contraction_zonly_fast,456,500,0.1,10.44,5,50,14.72,2.14,0.14
contraction_zonly_fast,456,550,0.1,10.36,5,50,14.76,2.2,0.14
contraction_zonly_fast,456,600,0.1,10.44,5,50,14.72,2.14,0.14
contraction_zonly_fast,456,650,0.1,10.34,5,50,14.74,2.2,0.14
contraction_zonly_fast,456,700,0.1,10.44,5,50,14.72,2.14,0.14
contraction_zonly_fast,456,750,0.1,10.44,5,50,14.72,2.14,0.14
contraction_zonly_fast,456,800,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,850,0.1,10.34,5,50,14.74,2.2,0.14
contraction_zonly_fast,456,900,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,950,0.1,10.34,5,50,14.74,2.2,0.14
contraction_zonly_fast,456,1000,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,1050,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,1100,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,1150,0.1,10.38,5,50,14.74,2.18,0.14
contraction_zonly_fast,456,1200,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,1250,0.1,10.48,5,50,14.72,2.12,0.14
contraction_zonly_fast,456,1300,0.1,10.58,5,50,14.7,2.06,0.16
contraction_zonly_fast,456,1350,0.1,10.38,5,50,14.74,2.18,0.14
contraction_zonly_fast,456,1400,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,1450,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,1500,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,1550,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,1600,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,1650,0.12,10.5,6,50,14.74,2.12,0.16
