algorithm,seed,step,success_rate,mean_score
persistent_no_contraction,123,2300,0.84,15.62
persistent_no_contraction,123,2400,0.82,15.68
persistent_no_contraction,123,2500,0.9,15.76
persistent_no_contraction,123,2600,0.88,15.74
persistent_no_contraction,123,2700,0.9,15.76
persistent_no_contraction,123,2800,0.86,15.72
persistent_no_contraction,123,2900,0.78,15.74
persistent_no_contraction,123,3000,0.92,15.92
persistent_no_contraction,123,3100,0.92,15.92
persistent_no_contraction,123,3200,0.92,15.88
persistent_no_contraction,123,3300,0.92,15.92
persistent_no_contraction,123,3400,0.92,15.92
persistent_no_contraction,123,3500,0.92,15.92
persistent_no_contraction,123,3600,0.92,15.92
persistent_no_contraction,123,3700,0.92,15.92
persistent_no_contraction,123,3800,0.92,15.92
persistent_no_contraction,123,3900,0.92,15.88
persistent_no_contraction,123,4000,0.92,15.88
persistent_no_contraction,123,4100,0.92,15.88
persistent_no_contraction,123,4200,0.92,15.88
persistent_no_contraction,123,4300,0.88,15.84
persistent_no_contraction,123,4400,0.92,15.88
persistent_no_contraction,123,4500,0.92,15.92
persistent_no_contraction,123,4600,0.92,15.92
persistent_no_contraction,123,4700,0.92,15.92
persistent_no_contraction,123,4800,0.92,15.92
persistent_no_contraction,123,4900,0.92,15.92
persistent_no_contraction,123,5000,0.92,15.92
persistent_no_contraction,456,100,0.18,12.2
persistent_no_contraction,456,200,0.3,14.1
persistent_no_contraction,456,300,0.3,14.12
persistent_no_contraction,456,400,0.36,14.64
persistent_no_contraction,456,500,0.36,14.56
persistent_no_contraction,456,600,0.32,14.64
persistent_no_contraction,456,700,0.38,14.66
persistent_no_contraction,456,800,0.44,14.96
persistent_no_contraction,456,900,0.5,14.84
persistent_no_contraction,456,1000,0.5,15.12
persistent_no_contraction,456,1100,0.6,15.22
persistent_no_contraction,456,1200,0.64,15.28
persistent_no_contraction,456,1300,0.68,15.38
persistent_no_contraction,456,1400,0.6,15.24
persistent_no_contraction,456,1500,0.72,15.44
persistent_no_contraction,456,1600,0.74,15.58
persistent_no_contraction,456,1700,0.84,15.6
persistent_no_contraction,456,1800,0.86,15.76
persistent_no_contraction,456,1900,0.8,15.68
persistent_no_contraction,456,2000,0.84,15.76
persistent_no_contraction,456,2100,0.88,15.84
persistent_no_contraction,456,2200,0.86,15.74
persistent_no_contraction,456,2300,0.88,15.8
persistent_no_contraction,456,2400,0.84,15.8
persistent_no_contraction,456,2500,0.88,15.8
persistent_no_contraction,456,2600,0.88,15.8
persistent_no_contraction,456,2700,0.88,15.8
persistent_no_contraction,456,2800,0.92,15.84
persistent_no_contraction,456,2900,0.92,15.84
persistent_no_contraction,456,3000,0.92,15.84
persistent_no_contraction,456,3100,0.92,15.92
persistent_no_contraction,456,3200,0.92,15.88
persistent_no_contraction,456,3300,0.92,15.88
persistent_no_contraction,456,3400,0.9,15.9
persistent_no_contraction,456,3500,0.92,15.92
persistent_no_contraction,456,3600,0.92,15.92
persistent_no_contraction,456,3700,0.88,15.84
persistent_no_contraction,456,3800,0.92,15.88
persistent_no_contraction,456,3900,0.92,15.92
persistent_no_contraction,456,4000,0.92,15.92
persistent_no_contraction,456,4100,0.92,15.88
persistent_no_contraction,456,4200,0.92,15.92
persistent_no_contraction,456,4300,0.92,15.92
persistent_no_contraction,456,4400,0.92,15.88
persistent_no_contraction,456,4500,0.92,15.88
persistent_no_contraction,456,4600,0.92,15.88
persistent_no_contraction,456,4700,0.92,15.92
persistent_no_contraction,456,4800,0.92,15.88
persistent_no_contraction,456,4900,0.92,15.88
persistent_no_contraction,456,5000,0.92,15.88
